1.29E-08,-1.52E-30,4.64E-53,-6.84E-76,4.75E-99,-1.24E-122
7.19E-09,-1.03E-30,2.73E-53,-3.41E-76,2.07E-99,-4.89E-123
1.08E-08,-1.52E-30,4.90E-53,-7.42E-76,5.23E-99,-1.38E-122
5.07E-09,-1.02E-30,2.99E-53,-3.99E-76,2.55E-99,-6.30E-123
2.01E-08,-1.82E-30,5.06E-53,-6.98E-76,4.67E-99,-1.20E-122
1.44E-08,-1.32E-30,3.14E-53,-3.54E-76,1.99E-99,-4.51E-123
7.19E-09,-1.03E-30,2.73E-53,-3.41E-76,2.07E-99,-4.89E-123
1.08E-08,-1.52E-30,4.90E-53,-7.42E-76,5.23E-99,-1.38E-122
5.07E-09,-1.02E-30,2.99E-53,-3.99E-76,2.55E-99,-6.30E-123
2.01E-08,-1.82E-30,5.06E-53,-6.98E-76,4.67E-99,-1.20E-122
1.44E-08,-1.32E-30,3.14E-53,-3.54E-76,1.99E-99,-4.51E-123
6.38E-09,-1.05E-30,2.93E-53,-3.77E-76,2.34E-99,-5.61E-123
1.58E-08,-1.35E-30,3.08E-53,-3.33E-76,1.78E-99,-3.82E-123
6.38E-09,-1.05E-30,2.93E-53,-3.77E-76,2.34E-99,-5.61E-123
1.58E-08,-1.35E-30,3.08E-53,-3.33E-76,1.78E-99,-3.82E-123
5.62E-09,-1.14E-30,3.59E-53,-5.12E-76,3.36E-99,-8.38E-123
1.50E-08,-1.44E-30,3.74E-53,-4.67E-76,2.81E-99,-6.59E-123
5.62E-09,-1.14E-30,3.59E-53,-5.12E-76,3.36E-99,-8.38E-123
1.50E-08,-1.44E-30,3.74E-53,-4.67E-76,2.81E-99,-6.59E-123
7.58E-09,-1.04E-30,2.76E-53,-3.45E-76,2.10E-99,-4.98E-123
7.58E-09,-1.04E-30,2.76E-53,-3.45E-76,2.10E-99,-4.98E-123
8.89E-09,-1.07E-30,2.71E-53,-3.24E-76,1.89E-99,-4.29E-123
8.12E-09,-1.16E-30,3.36E-53,-4.58E-76,2.91E-99,-7.06E-123
2.02E-08,-1.72E-30,4.57E-53,-6.02E-76,3.95E-99,-1.02E-122
2.02E-08,-1.72E-30,4.57E-53,-6.02E-76,3.95E-99,-1.02E-122
2.15E-08,-1.75E-30,4.51E-53,-5.81E-76,3.74E-99,-9.49E-123
2.07E-08,-1.84E-30,5.17E-53,-7.15E-76,4.76E-99,-1.23E-122
